iter	Passed	Remaining
188	576	2471
189	578	2465
190	580	2457
191	581	2447
192	583	2437
193	584	2428
194	586	2422
195	590	2421
196	592	2415
197	594	2407
198	596	2399
199	598	2392
200	600	2385
201	602	2381
202	604	2374
203	606	2365
204	607	2357
205	610	2352
206	612	2346
207	614	2340
208	617	2337
209	620	2335
210	622	2329
211	624	2321
212	626	2314
213	627	2306
214	629	2299
215	632	2294
216	635	2292
217	637	2285
218	638	2277
219	640	2270
220	641	2262
221	643	2254
222	645	2249
223	649	2249
224	651	2242
225	652	2235
226	654	2227
227	655	2220
228	657	2212
229	659	2206
230	661	2203
231	665	2201
232	667	2196
233	669	2190
234	670	2183
235	672	2176
236	674	2171
237	677	2168
238	680	2166
239	682	2160
240	684	2154
241	685	2148
242	687	2142
243	689	2137
244	693	2136
245	695	2131
246	697	2125
247	698	2118
248	700	2113
249	702	2106
250	704	2102
251	708	2102
252	710	2096
253	711	2090
254	713	2085
255	715	2078
256	717	2073
257	719	2068
258	722	2067
259	724	2062
260	726	2057
261	728	2052
262	730	2046
263	732	2040
264	735	2039
265	738	2038
266	740	2033
267	742	2027
268	744	2021
269	745	2016
270	748	2013
271	750	2009
272	754	2008
273	756	2003
274	758	1998
275	759	1992
276	761	1988
277	766	1991
278	769	1988
279	771	1984
280	773	1979
281	775	1974
282	777	1970
283	780	1968
284	783	1966
285	785	1961
286	787	1956
287	788	1950
288	790	1945
289	793	1943
290	797	1942
291	799	1938
292	800	1932
293	802	1927
294	804	1921
295	806	1919
296	809	1916
297	812	1913
298	814	1909
299	816	1904
300	817	1898
301	819	1895
302	822	1892
303	827	1895
304	829	1890
305	831	1885
306	833	1881
307	837	1882
308	841	1881
309	843	1877
310	845	1872
311	847	1869
312	850	1866
313	854	1866
314	857	1864
315	858	1859
316	860	1854
317	863	1850
318	866	1849
319	868	1846
320	872	1845
321	875	1843
322	879	1843
323	882	1840
324	886	1841
325	889	1838
326	891	1833
327	893	1829
328	895	1826
329	900	1828
330	902	1824
331	905	1822
332	909	1822
333	912	1819
334	916	1819
335	919	1816
336	921	1812
337	922	1807
338	925	1804
339	930	1806
340	932	1802
341	934	1797
342	936	1793
343	938	1788
344	941	1786
345	944	1785
346	946	1781
347	948	1777
348	951	1774
349	953	1771
350	957	1769
351	960	1768
352	962	1764
353	964	1760
354	966	1756
355	969	1754
356	973	1753
357	975	1750
358	978	1746
359	980	1742
360	984	1741
361	992	1748
362	995	1746
363	996	1742
364	1001	1741
365	1005	1741
366	1007	1738
367	1009	1734
368	1011	1729
369	1015	1728
370	1017	1724
371	1020	1722
372	1022	1718
373	1024	1715
374	1026	1711
375	1030	1709
376	1033	1707
377	1036	1705
378	1038	1701
379	1040	1697
380	1047	1701
381	1050	1698
382	1052	1695
383	1054	1691
384	1057	1689
385	1060	1686
386	1062	1682
387	1065	1680
388	1068	1678
389	1070	1674
390	1073	1672
391	1077	1670
392	1079	1667
393	1081	1663
394	1083	1659
395	1085	1655
396	1087	1652
397	1091	1650
398	1093	1647
399	1095	1643
400	1097	1639
401	1099	1635
402	1101	1632
403	1104	1629
404	1107	1627
405	1109	1623
406	1111	1620
407	1114	1616
408	1116	1613
409	1120	1612
410	1123	1609
411	1125	1605
412	1127	1602
413	1129	1598
414	1131	1595
415	1136	1594
416	1139	1592
417	1141	1589
418	1144	1586
419	1147	1585
420	1152	1584
421	1155	1582
422	1157	1579
423	1160	1577
424	1165	1576
425	1168	1573
426	1169	1570
427	1172	1566
428	1174	1563
429	1183	1568
430	1185	1565
431	1187	1561
432	1190	1559
433	1196	1560
434	1198	1556
435	1200	1553
436	1202	1549
437	1205	1546
438	1208	1543
439	1211	1541
440	1213	1538
441	1215	1534
442	1217	1531
443	1219	1527
444	1225	1527
445	1227	1524
446	1229	1520
447	1231	1517
448	1234	1515
449	1237	1512
450	1240	1510
451	1242	1506
452	1244	1503
453	1248	1501
454	1255	1503
455	1258	1500
456	1266	1505
457	1269	1502
458	1273	1501
459	1276	1498
460	1279	1495
461	1283	1495
462	1285	1491
463	1287	1486
464	1288	1482
465	1292	1480
466	1295	1478
467	1298	1476
468	1301	1473
469	1303	1469
470	1305	1465
471	1307	1462
472	1311	1461
473	1314	1458
474	1316	1454
475	1318	1451
476	1320	1447
477	1323	1445
478	1327	1443
479	1329	1440
480	1331	1437
481	1333	1433
482	1335	1429
483	1338	1427
484	1342	1425
485	1345	1422
486	1346	1418
487	1348	1415
488	1350	1411
489	1354	1410
490	1358	1408
491	1360	1404
492	1362	1400
493	1364	1397
494	1367	1394
495	1371	1393
496	1373	1390
497	1375	1386
498	1377	1383
499	1380	1380
500	1383	1377
501	1386	1375
502	1388	1371
503	1390	1368
504	1391	1364
505	1394	1361
506	1401	1362
507	1403	1359
508	1405	1356
509	1407	1352
510	1410	1349
511	1413	1347
512	1416	1344
513	1419	1341
514	1421	1338
515	1423	1335
516	1427	1333
517	1430	1331
518	1432	1327
519	1434	1324
520	1436	1321
521	1440	1319
522	1445	1318
523	1448	1315
524	1450	1312
525	1453	1309
526	1456	1306
527	1459	1304
528	1461	1301
529	1463	1297
530	1465	1294
531	1468	1291
532	1476	1294
533	1479	1290
534	1481	1287
535	1483	1284
536	1487	1282
537	1490	1279
538	1492	1276
539	1494	1272
540	1496	1269
541	1498	1266
542	1503	1265
543	1505	1261
544	1507	1258
545	1510	1256
546	1513	1253
547	1517	1251
548	1519	1248
549	1521	1245
550	1524	1242
551	1527	1239
552	1530	1236
553	1533	1234
554	1535	1231
555	1538	1228
556	1540	1224
557	1542	1222
558	1545	1219
559	1548	1217
560	1551	1214
561	1554	1211
562	1556	1208
563	1560	1206
564	1562	1203
565	1565	1200
566	1567	1196
567	1569	1193
568	1571	1190
569	1574	1187
570	1576	1184
571	1579	1181
572	1580	1178
573	1582	1174
574	1585	1171
575	1587	1168
576	1589	1165
577	1591	1162
578	1593	1158
579	1595	1155
580	1597	1151
581	1598	1148
582	1600	1144
583	1603	1141
584	1605	1138
585	1607	1135
586	1608	1131
587	1610	1128
588	1612	1124
589	1613	1121
590	1615	1118
591	1619	1115
592	1621	1112
593	1623	1109
594	1625	1106
595	1627	1102
596	1629	1099
597	1632	1097
598	1635	1094
599	1638	1092
600	1640	1089
601	1643	1086
602	1646	1084
603	1650	1081
604	1652	1078
605	1654	1075
606	1656	1072
607	1658	1069
608	1661	1066
609	1663	1063
610	1666	1061
611	1668	1057
612	1670	1054
613	1672	1051
614	1674	1048
615	1678	1046
616	1680	1043
617	1682	1039
618	1684	1037
619	1688	1035
620	1691	1032
621	1694	1029
622	1697	1027
623	1699	1024
624	1702	1021
625	1704	1018
626	1707	1015
627	1710	1013
628	1712	1009
629	1714	1006
630	1716	1003
631	1719	1001
632	1723	999
633	1725	996
634	1727	993
635	1729	989
636	1731	986
637	1734	984
638	1736	981
639	1739	978
640	1741	975
641	1744	972
642	1748	971
643	1752	968
644	1754	965
645	1756	962
646	1758	959
647	1759	956
648	1762	953
649	1765	950
650	1768	947
651	1770	944
652	1771	941
653	1773	938
654	1775	935
655	1778	932
656	1781	930
657	1784	927
658	1786	924
659	1787	921
660	1789	917
661	1791	914
662	1795	912
663	1797	909
664	1799	906
665	1801	903
666	1802	900
667	1804	897
668	1809	895
669	1811	892
670	1813	889
671	1815	886
672	1817	883
673	1820	880
674	1823	877
675	1826	875
676	1827	872
677	1829	868
678	1831	865
679	1833	862
680	1836	860
681	1839	857
682	1841	854
683	1843	851
684	1844	848
685	1846	845
686	1850	842
687	1853	840
688	1855	837
689	1856	834
690	1858	831
691	1861	828
692	1864	826
693	1868	823
694	1870	820
695	1872	817
696	1874	814
697	1876	811
698	1880	809
699	1882	806
700	1884	803
701	1886	800
702	1888	797
703	1890	794
704	1892	792
705	1896	789
706	1898	786
707	1900	783
708	1902	780
709	1905	778
710	1907	775
711	1912	773
712	1914	770
713	1916	767
714	1918	764
715	1920	761
716	1923	759
717	1926	756
718	1929	754
719	1931	751
720	1933	748
721	1935	745
722	1940	743
723	1942	740
724	1944	737
725	1946	734
726	1948	731
727	1951	728
728	1955	726
729	1957	724
730	1959	721
731	1961	718
732	1963	715
733	1966	712
734	1969	710
735	1971	707
736	1973	704
737	1975	701
738	1977	698
739	1979	695
740	1983	693
741	1986	690
742	1988	687
743	1990	684
744	1992	681
745	1994	679
746	1997	676
747	2000	673
748	2002	671
749	2004	668
750	2006	665
751	2008	662
752	2012	660
753	2014	657
754	2016	654
755	2018	651
756	2020	648
757	2022	645
758	2024	642
759	2027	640
760	2029	637
761	2031	634
762	2033	631
763	2035	628
764	2037	626
765	2040	623
766	2043	620
767	2045	617
768	2047	615
769	2049	612
770	2051	609
771	2056	607
772	2058	604
773	2060	601
774	2061	598
775	2064	595
776	2066	593
777	2070	590
778	2072	587
779	2074	584
780	2076	582
781	2078	579
782	2080	576
783	2083	574
784	2086	571
785	2088	568
786	2091	566
787	2093	563
788	2095	560
789	2099	557
790	2101	555
791	2103	552
792	2105	549
793	2107	546
794	2109	543
795	2112	541
796	2114	538
797	2116	535
798	2118	533
799	2120	530
800	2122	527
801	2126	524
802	2128	522
803	2130	519
804	2133	516
805	2134	513
806	2137	511
807	2140	508
808	2143	506
809	2145	503
810	2147	500
811	2149	497
812	2152	495
813	2155	492
814	2159	490
815	2160	487
816	2162	484
817	2164	481
818	2166	478
819	2169	476
820	2172	473
821	2174	470
822	2176	468
823	2179	465
824	2181	462
825	2185	460
826	2187	457
827	2190	455
828	2192	452
829	2196	449
830	2198	447
831	2202	444
832	2204	441
833	2206	439
834	2208	436
835	2210	433
836	2213	431
837	2217	428
838	2219	425
839	2221	423
840	2223	420
841	2225	417
842	2228	414
843	2231	412
844	2233	409
845	2235	407
846	2237	404
847	2239	401
848	2241	398
849	2245	396
850	2247	393
851	2250	390
852	2252	388
853	2254	385
854	2257	382
855	2259	380
856	2261	377
857	2263	374
858	2266	371
859	2267	369
860	2270	366
861	2273	364
862	2276	361
863	2278	358
864	2280	355
865	2282	353
866	2285	350
867	2288	347
868	2290	345
869	2292	342
870	2294	339
871	2295	337
872	2297	334
873	2300	331
874	2304	329
875	2306	326
876	2308	323
877	2310	321
878	2313	318
879	2317	316
880	2320	313
881	2322	310
882	2324	308
883	2327	305
884	2332	303
885	2335	300
886	2336	297
887	2338	294
888	2341	292
889	2343	289
890	2347	287
891	2349	284
892	2351	281
893	2353	279
894	2356	276
895	2359	273
896	2361	271
897	2363	268
898	2365	265
899	2367	263
900	2369	260
901	2372	257
902	2375	255
903	2377	252
904	2378	249
905	2380	247
906	2382	244
907	2384	241
908	2386	238
909	2389	236
910	2391	233
911	2393	230
912	2395	228
913	2397	225
914	2399	222
915	2402	220
916	2407	217
917	2421	216
918	2423	213
919	2428	211
920	2431	208
921	2435	206
922	2437	203
923	2440	200
924	2442	198
925	2444	195
926	2448	192
927	2450	190
928	2453	187
929	2455	184
930	2458	182
931	2462	179
932	2466	177
933	2468	174
934	2471	171
935	2473	169
936	2477	166
937	2479	163
938	2482	161
939	2485	158
940	2488	156
941	2494	153
942	2498	150
943	2500	148
944	2501	145
945	2504	142
946	2509	140
947	2511	137
948	2513	135
949	2515	132
950	2517	129
951	2522	127
952	2524	124
953	2526	121
954	2528	119
955	2530	116
956	2532	113
957	2537	111
958	2539	108
959	2541	105
960	2544	103
961	2546	100
962	2549	97
963	2553	95
964	2555	92
965	2557	90
966	2560	87
967	2564	84
968	2566	82
969	2571	79
970	2573	76
971	2579	74
972	2581	71
973	2583	68
974	2585	66
975	2587	63
976	2588	60
977	2591	58
978	2595	55
979	2597	53
980	2599	50
981	2601	47
982	2604	45
983	2608	42
984	2613	39
985	2616	37
986	2618	34
987	2620	31
988	2623	29
989	2625	26
990	2627	23
991	2629	21
992	2631	18
993	2634	15
994	2636	13
995	2638	10
996	2641	7
997	2643	5
998	2646	2
999	2650	0
